id,logic_score,math_score,art_score,english_score,interest_field,career_goal,study_time_per_week,current_level,Target_Course
3edd7853,3,4,9,3,Office,Startup,5-10h,Intermediate,Tin hoc van phong
418f9300,7,9,6,5,AI/Data,Company,5-10h,Advanced,Python for Data Science
fd8a4558,6,6,1,5,AI/Data,Company,5-10h,Beginner,Python Basic
0ea36e24,1,2,1,3,Office,Company,2-5h,Beginner,Tin hoc van phong
34654c78,5,9,7,10,AI/Data,Company,2-5h,Advanced,Python Basic
d55b0ec4,4,1,5,7,Office,Company,5-10h,Beginner,Tin hoc van phong
7a1400a9,5,6,6,5,Game,Freelancer,2-5h,Beginner,Scratch for Beginners
32924116,8,8,7,4,AI/Data,Freelancer,2-5h,Intermediate,Python for Data Science
ddc1fd65,4,5,4,7,Game,Company,2-5h,Intermediate,Game Design & Art
37d74c3b,6,1,6,1,Office,Startup,5-10h,Beginner,Tin hoc van phong
bfae508d,5,7,3,6,IOT,Company,2-5h,Intermediate,C/C++ for IoT
58c31ab3,10,5,5,6,Office,Startup,< 2h,Advanced,Tin hoc van phong
1c9cbc19,6,7,8,7,Mobile App,Company,2-5h,Beginner,Flutter Cross-platform
b73bac33,6,6,6,10,Game,Company,2-5h,Advanced,Game Dev (Unity/C#)
6c0383b9,6,3,3,2,Office,Freelancer,5-10h,Beginner,Tin hoc van phong
b147cc1a,7,4,6,4,AI/Data,Freelancer,2-5h,Beginner,Python Basic
81a0f173,7,8,6,3,IOT,Company,5-10h,Beginner,C/C++ for IoT
db7712c7,1,1,8,5,Game,Company,5-10h,Beginner,Game Design & Art
c4112996,6,2,6,3,Game,Company,< 2h,Beginner,Game Dev (Unity/C#)
76ef9f8c,10,8,6,10,AI/Data,Startup,< 2h,Advanced,Python Basic
43f19aa4,4,4,4,8,Mobile App,Freelancer,2-5h,Intermediate,Android Basic
5bcce42f,7,7,6,8,Game,Competition,2-5h,Advanced,Game Dev (Unity/C#)
23427431,3,8,3,9,Mobile App,Freelancer,5-10h,Intermediate,Android Basic
1782a0b9,4,6,4,3,Web,Company,2-5h,Beginner,Web Backend (PHP/Nodejs)
f3f4f90b,1,5,7,4,Web,Startup,> 10h,Beginner,Frontend (HTML/CSS/JS)
3510be4e,4,3,4,3,Mobile App,Freelancer,> 10h,Intermediate,Android Basic
f33b50bd,4,4,7,2,Web,Freelancer,< 2h,Beginner,Web Backend (PHP/Nodejs)
8acd0e6d,6,5,2,5,Office,Company,5-10h,Beginner,Tin hoc van phong
120a29bf,6,3,3,8,Office,Freelancer,5-10h,Beginner,Tin hoc van phong
73802f1b,5,3,7,1,Mobile App,Startup,5-10h,Beginner,Flutter Cross-platform
63fb31e6,7,7,5,6,Web,Company,2-5h,Beginner,Web Backend (PHP/Nodejs)
e6f52cdb,8,8,4,8,Office,Competition,5-10h,Beginner,Tin hoc van phong
ad8a5b4d,6,3,5,5,Office,Company,5-10h,Intermediate,Tin hoc van phong
121f7376,7,9,6,9,Web,Freelancer,5-10h,Advanced,Fullstack Web (MERN)
11f092e1,4,5,5,7,Office,Startup,5-10h,Intermediate,Tin hoc van phong
2e08d139,7,2,4,2,Mobile App,Freelancer,2-5h,Beginner,Flutter Cross-platform
dd81c59f,5,6,5,6,Office,Freelancer,< 2h,Beginner,Tin hoc van phong
35ade1b9,3,7,3,6,Mobile App,Freelancer,5-10h,Intermediate,Android Basic
8440957e,2,6,2,1,Office,Startup,2-5h,Beginner,Tin hoc van phong
93d0696c,8,4,8,5,Game,Startup,> 10h,Intermediate,Game Design & Art
c075782d,1,2,4,7,Game,Company,2-5h,Beginner,Scratch for Beginners
5a2165a8,5,10,10,7,Mobile App,Freelancer,2-5h,Advanced,Flutter Cross-platform
8ec461b8,9,5,6,8,Office,Freelancer,> 10h,Advanced,Tin hoc van phong
aeec1c36,5,5,7,9,Web,Freelancer,2-5h,Advanced,Frontend (HTML/CSS/JS)
3f5a9e1f,6,9,5,9,IOT,Company,2-5h,Intermediate,C/C++ for IoT
fa38ac47,10,10,6,8,Game,Company,5-10h,Advanced,Game Dev (Unity/C#)
3580aab8,8,4,5,2,IOT,Company,> 10h,Beginner,C/C++ for IoT
432d3db2,6,3,8,3,Office,Company,2-5h,Beginner,Tin hoc van phong
6cae58cd,5,7,7,6,Mobile App,Freelancer,2-5h,Beginner,Flutter Cross-platform
855fadf8,3,7,6,5,Web,Company,5-10h,Beginner,Frontend (HTML/CSS/JS)
63f6528d,2,2,8,3,Web,Startup,5-10h,Beginner,Frontend (HTML/CSS/JS)
2b57f37b,5,7,8,1,Mobile App,Company,< 2h,Beginner,Flutter Cross-platform
de3d7b7c,7,5,7,2,Game,Startup,2-5h,Beginner,Game Dev (Unity/C#)
91e0fe60,9,3,3,9,Web,Company,2-5h,Intermediate,Web Backend (PHP/Nodejs)
f565b009,5,7,1,1,AI/Data,Competition,2-5h,Beginner,Python Basic
94d5c06b,7,6,3,6,Web,Company,2-5h,Intermediate,Web Backend (PHP/Nodejs)
3695e871,6,7,5,9,Mobile App,Startup,< 2h,Advanced,Android Basic
d77d434a,6,8,10,6,Mobile App,Freelancer,5-10h,Advanced,Flutter Cross-platform
730fbfa7,4,7,5,4,AI/Data,Startup,2-5h,Intermediate,Python Basic
dc546c32,3,7,6,4,IOT,Startup,2-5h,Beginner,Arduino Basic
50129e2a,4,4,5,5,IOT,Company,5-10h,Intermediate,Arduino Basic
0d9cc5d3,7,8,8,3,Game,Startup,< 2h,Intermediate,Game Design & Art
d53f0fda,1,5,8,5,Web,Company,< 2h,Beginner,Frontend (HTML/CSS/JS)
7aa0b605,8,6,7,8,Mobile App,Competition,2-5h,Beginner,Flutter Cross-platform
b9875a4d,8,10,7,10,AI/Data,Freelancer,5-10h,Advanced,Python for Data Science
24f01bf7,9,9,3,9,AI/Data,Freelancer,> 10h,Intermediate,Python for Data Science
d0575134,5,5,9,7,Mobile App,Competition,2-5h,Intermediate,Android Basic
aba75add,6,8,7,6,Mobile App,Startup,5-10h,Beginner,Flutter Cross-platform
bb2dbe1d,2,4,4,3,Office,Freelancer,2-5h,Beginner,Tin hoc van phong
ffa614e9,6,9,8,8,Web,Startup,2-5h,Intermediate,Web Backend (PHP/Nodejs)
dc8c8cb8,5,10,6,7,AI/Data,Competition,2-5h,Advanced,Python Basic
9a6c5b98,8,3,4,9,Office,Competition,< 2h,Intermediate,Tin hoc van phong
8bd22417,5,4,3,5,IOT,Startup,> 10h,Beginner,Arduino Basic
f210dab0,6,7,4,4,IOT,Company,< 2h,Intermediate,C/C++ for IoT
4c3784aa,8,6,5,6,Mobile App,Freelancer,5-10h,Intermediate,Flutter Cross-platform
97563e9b,3,6,3,6,Web,Startup,2-5h,Intermediate,Frontend (HTML/CSS/JS)
426349cb,9,3,5,8,Game,Company,< 2h,Intermediate,Game Dev (Unity/C#)
a346f681,8,5,6,3,Mobile App,Freelancer,2-5h,Beginner,Flutter Cross-platform
6d315e97,9,6,7,5,Office,Company,> 10h,Intermediate,Tin hoc van phong
0308ab75,5,1,6,2,Mobile App,Competition,2-5h,Beginner,Flutter Cross-platform
c8efb82c,8,2,5,7,Office,Company,2-5h,Beginner,Tin hoc van phong
ddf8fdbd,6,8,6,9,Office,Competition,5-10h,Advanced,Tin hoc van phong
b1420a08,4,6,1,7,IOT,Freelancer,< 2h,Beginner,C/C++ for IoT
c9741621,9,5,5,5,AI/Data,Freelancer,2-5h,Advanced,Python Basic
b6a159d1,7,10,7,10,Game,Company,2-5h,Advanced,Game Dev (Unity/C#)
bbf5845b,3,5,6,4,Mobile App,Startup,5-10h,Beginner,Android Basic
a6539b43,4,2,8,8,Game,Freelancer,5-10h,Beginner,Game Design & Art
6320c700,7,5,6,8,IOT,Startup,< 2h,Advanced,Arduino Basic
5e9c819e,3,3,1,8,Office,Company,< 2h,Beginner,Tin hoc van phong
6a15b62a,10,8,9,7,Web,Startup,2-5h,Advanced,Frontend (HTML/CSS/JS)
5b521d82,3,7,8,6,Office,Company,5-10h,Intermediate,Tin hoc van phong
7cee8756,8,5,8,7,Game,Company,5-10h,Intermediate,Game Design & Art
01eda5da,8,6,3,6,AI/Data,Startup,> 10h,Beginner,Python Basic
d8a319cc,6,10,5,9,AI/Data,Competition,< 2h,Advanced,Python Basic
3617a6df,4,3,4,9,Web,Company,2-5h,Intermediate,Fullstack Web (MERN)
8abcce33,8,6,6,5,Game,Startup,2-5h,Beginner,Game Dev (Unity/C#)
7b424d9f,8,1,7,7,Mobile App,Freelancer,5-10h,Beginner,Flutter Cross-platform
c0e96283,5,5,5,5,Mobile App,Company,< 2h,Advanced,Flutter Cross-platform
370c7fe7,9,9,4,8,Office,Company,2-5h,Intermediate,Tin hoc van phong
